ACCIDENT_YEAR,JURIS,COLLISION_DATE,COLLISION_TIME,DAY_OF_WEEK,CHP_SHIFT,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,LOCATION_TYPE,RAMP_INTERSECTION,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,MOTORCYCLE_ACCIDENT,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_MC_KILLED,COUNT_MC_INJURED,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y,IS_WEEKEND,TIME_OF_DAY,SEVERE_FATAL
2021,1942,2021-05-23,1520,7,5,N,A,-,N,,,N,3,0,1,2,A,-,09,21804.0,,F,D,A,H,-,A,D,0,Y,,A,01,0,1,0,0,1,,,LOS ANGELES,LOS ANGELES,-118.3432388305664,34.06890106201172,1,Midday,0
2021,1942,2021-05-25,1700,2,5,N,A,-,N,,,N,3,0,1,2,A,-,09,21801.0,,F,D,A,H,-,A,D,0,Y,,-,99,0,1,0,0,1,,,LOS ANGELES,LOS ANGELES,-118.44720458984376,33.989845275878906,0,Evening,0
2021,1942,2021-05-25,1350,2,5,Y,A,-,N,,,Y,2,0,1,2,A,-,12,21453.0,,F,D,A,H,-,A,A,0,Y,,A,01,1,0,0,0,1,,,LOS ANGELES,LOS ANGELES,-118.26864624023438,34.02485275268555,0,Midday,1
2021,1942,2021-06-02,730,3,5,Y,A,-,N,,,Y,2,0,1,2,A,-,09,21801.0,,N,A,A,H,-,A,A,0,Y,,A,01,1,0,0,0,1,,,LOS ANGELES,LOS ANGELES,-118.27832794189452,33.996490478515625,0,Morning,1
2021,1942,2021-02-28,1744,7,5,N,A,-,N,,,N,3,0,1,1,A,-,01,23152.0,,N,E,A,H,-,A,A,0,Y,,C,02,0,1,0,0,1,,,LOS ANGELES,LOS ANGELES,-118.42416381835938,34.05768585205078,1,Evening,0
2021,1942,2021-06-02,1230,3,5,N,A,-,N,,,N,2,0,1,1,A,-,03,22350.0,,N,E,A,H,-,A,D,0,Y,,C,02,1,0,0,0,1,,,LOS ANGELES,LOS ANGELES,-118.46805572509766,34.04549789428711,0,Midday,1
2021,1942,2021-06-06,2115,7,5,Y,A,-,N,,,Y,2,0,4,3,A,-,09,21801.0,,N,D,A,H,-,C,A,0,Y,,A,01,1,0,3,0,1,,,LOS ANGELES,LOS ANGELES,-118.2620086669922,34.05401992797852,1,Night,1
2021,1942,2021-06-05,1950,6,5,N,A,-,N,,,Y,3,0,1,2,A,-,01,23152.0,,N,B,A,H,-,C,A,0,Y,Y,A,01,0,1,0,0,0,,,LOS ANGELES,LOS ANGELES,-118.26040649414062,34.0783805847168,1,Evening,0
2021,1942,2021-05-29,1000,6,5,Y,B,-,N,,,Y,4,0,1,2,A,-,09,21802.0,,N,D,A,H,-,A,A,0,Y,,A,01,0,0,1,0,1,,,LOS ANGELES,LOS ANGELES,-118.33725738525392,34.076194763183594,1,Morning,0
2021,1924,2021-05-27,1252,4,5,N,A,-,N,,,Y,3,0,1,2,A,-,08,22102.0,,F,D,A,H,-,A,D,0,Y,,D,22,0,1,0,0,1,33.87648010253906,-118.29937744140624,LOS ANGELES,GARDENA,-118.2990951538086,33.87547302246094,0,Midday,0
2021,1942,2021-06-07,2345,1,5,Y,A,-,N,,,Y,2,0,2,3,A,-,08,22107.0,,N,D,A,H,-,C,A,0,Y,,B,01,1,0,1,0,1,,,LOS ANGELES,LOS ANGELES,-118.24938201904295,34.06066131591797,0,Night,1
2021,1942,2021-05-27,400,4,5,N,A,-,N,,,Y,3,0,1,2,A,-,08,22107.0,,F,B,A,H,-,C,D,0,Y,,-,99,0,1,0,0,1,,,LOS ANGELES,LOS ANGELES,-118.39603424072266,33.932231903076165,0,Night,0
2021,1942,2021-06-09,300,3,5,N,A,-,N,,,Y,2,0,1,1,A,-,03,22350.0,,N,E,A,H,-,C,D,0,Y,,C,02,1,0,0,0,1,,,LOS ANGELES,LOS ANGELES,-118.25948333740234,34.06178665161133,0,Night,1
2021,1942,2021-06-11,1735,5,5,Y,A,-,N,,,Y,2,0,4,6,A,-,09,21801.0,,N,A,A,H,-,A,A,0,Y,,A,01,1,0,3,0,0,,,LOS ANGELES,LOS ANGELES,-118.24359130859376,34.055755615234375,0,Evening,1
2021,1942,2021-06-11,1630,5,5,N,A,-,N,,,N,3,0,1,2,A,-,03,22350.0,,F,C,A,H,-,A,D,0,Y,,-,99,0,1,0,0,1,,,LOS ANGELES,LOS ANGELES,-118.2028579711914,34.05459213256836,0,Evening,0
2021,1942,2021-06-13,1800,7,5,Y,A,-,N,,,N,3,0,1,2,A,-,03,22350.0,,F,C,A,D,-,A,D,0,Y,,-,99,0,1,0,0,1,,,LOS ANGELES,LOS ANGELES,-118.23271942138672,34.03825378417969,1,Evening,0
2021,1942,2021-06-13,1630,7,5,Y,A,-,N,,,Y,2,0,1,2,A,-,05,21460.0,,N,D,A,H,-,A,A,0,Y,,C,02,1,0,0,0,1,,,LOS ANGELES,LOS ANGELES,-118.35948944091795,34.08377456665039,1,Evening,1
2021,1942,2021-06-13,2030,7,5,Y,A,-,N,,,Y,2,0,2,2,A,-,10,21950.0,,N,G,A,H,-,C,A,0,Y,,C,02,1,1,0,0,1,,,LOS ANGELES,LOS ANGELES,-118.301025390625,34.04723358154297,1,Night,1
2021,1969,2021-05-20,1707,4,5,N,A,-,N,,,Y,4,0,1,2,D,-,00,,,N,E,A,H,-,A,A,0,Y,,-,- ,0,0,1,0,1,33.95050811767578,-118.17581939697266,LOS ANGELES,SOUTH GATE,-118.17642974853516,33.950557708740234,0,Evening,0
2021,1924,2021-06-08,2154,2,5,N,A,-,N,,,Y,4,0,1,4,A,-,21,22106.0,,N,H,A,H,-,C,D,0,Y,,A,01,0,0,1,0,1,33.8996696472168,-118.29821014404295,LOS ANGELES,GARDENA,-118.29826354980467,33.89958953857422,0,Night,0
2021,1942,2021-06-16,2150,3,5,N,A,-,N,,,N,2,0,1,1,A,-,03,22350.0,,N,E,A,H,-,C,A,0,Y,,C,02,1,0,0,0,1,,,LOS ANGELES,LOS ANGELES,-118.43910980224608,33.951786041259766,0,Night,1
2021,1942,2021-06-17,1750,4,5,N,A,-,N,,,N,4,0,1,2,A,-,03,22350.0,,F,G,A,H,-,A,D,0,Y,,C,03,0,0,1,0,0,,,LOS ANGELES,LOS ANGELES,-118.26302337646484,34.05220413208008,0,Evening,0
2021,1969,2021-06-19,2206,6,5,N,A,-,N,,,Y,4,0,1,1,D,-,00,,,N,E,A,H,-,C,D,0,Y,Y,-,- ,0,0,1,0,1,,,LOS ANGELES,SOUTH GATE,-118.22896575927734,33.9534797668457,1,Night,0
2021,1942,2021-06-19,2050,6,5,N,A,-,N,,,Y,1,1,0,4,A,-,03,22350.0,,N,B,A,D,-,C,D,0,Y,,C,02,0,0,0,1,0,,,LOS ANGELES,LOS ANGELES,-118.40941619873048,34.021827697753906,1,Night,1
2021,1942,2021-06-21,1640,1,5,Y,A,-,N,,,N,2,0,1,2,A,-,12,21453.0,,N,D,A,H,-,A,A,0,Y,,C,03,1,0,0,0,1,,,LOS ANGELES,LOS ANGELES,-118.33834075927734,34.10416030883789,0,Evening,1
